,rank,title,total_ratings,installs_in_millions,average_rating,growth_30_days,growth_60_days,price,category,5_star_ratings,4_star_ratings,3_star_ratings,2_star_ratings,1_star_ratings,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent,paid
283,84,Jewels Legend - Match 3 Puzzle,497484,10.0,4,0.4,0.8,0.0,GAME ARCADE,405757,48566,18492,6533,18133,81.56,9.76,3.72,1.31,3.64,False
284,85,BBTAN by 111%,476858,10.0,4,2948.2,0.1,0.0,GAME ARCADE,329614,64312,32355,11652,38924,69.12,13.49,6.79,2.44,8.16,False
285,86,Prize Claw,473706,50.0,4,0.1,0.1,0.0,GAME ARCADE,296894,49159,43940,18046,65665,62.68,10.38,9.28,3.81,13.86,False
286,87,Ball Blast,470099,10.0,4,0.9,1.8,0.0,GAME ARCADE,315988,61332,27827,14373,50577,67.22,13.05,5.92,3.06,10.76,False
287,88,Will Hero,467497,10.0,4,0.6,1.5,0.0,GAME ARCADE,317484,54366,29299,12418,53927,67.91,11.63,6.27,2.66,11.54,False
288,89,Monster Dash,466518,10.0,4,0.1,0.1,0.0,GAME ARCADE,340776,51499,28569,9164,36508,73.05,11.04,6.12,1.96,7.83,False
289,90,Duet,460549,10.0,4,0.2,0.3,0.0,GAME ARCADE,368057,49159,18102,6607,18622,79.92,10.67,3.93,1.43,4.04,False
290,91,Infinite Stairs,458684,10.0,4,1.3,2.5,0.0,GAME ARCADE,308505,50335,25797,12264,61781,67.26,10.97,5.62,2.67,13.47,False
291,92,Slendrina:The Cellar (Free),449205,10.0,4,0.6,1.3,0.0,GAME ARCADE,311382,35677,23861,16154,62128,69.32,7.94,5.31,3.6,13.83,False
292,93,Run Sausage Run!,448716,100.0,3,0.5,1.2,0.0,GAME ARCADE,271968,45329,35060,22824,73533,60.61,10.1,7.81,5.09,16.39,False
293,94,Human Evolution Clicker: Tap and Evolve Life Forms,447522,10.0,4,990.2,0.7,0.0,GAME ARCADE,268067,58110,41935,22944,56463,59.9,12.98,9.37,5.13,12.62,False
294,95,Sky Force 2014,446946,10.0,4,0.1,0.2,0.0,GAME ARCADE,331761,57741,25895,9077,22469,74.23,12.92,5.79,2.03,5.03,False
295,96,Bouncemasters,441188,50.0,4,1.8,4.4,0.0,GAME ARCADE,310177,39918,27014,15030,49046,70.31,9.05,6.12,3.41,11.12,False
